UserID,TotalCourses,TotalSpent,AverageSpending,PreferredCategory,PreferredLevel,AverageCourseRating,DiversityScore,EnrollmentFrequency,LearningDepthIndex,AverageCoursesPerCategory,PreferredPaymentMethod,AverageCoursePrice,Age,Gender
U00003,11,613.98,55.81636363636364,Marketing,Advanced,2.889090909090909,7,1.5714285714285714,2.2,1.5714285714285714,Bank Transfer,55.81636363636364,33,Female
U00004,13,982.05,75.54230769230769,Digital Marketing,Intermediate,3.4515384615384614,8,1.625,2.4,1.625,Bank Transfer,75.54230769230769,23,Female
U00013,14,1432.33,102.3092857142857,Machine Learning,Advanced,2.869285714285714,8,1.5555555555555556,2.3333333333333335,1.75,Bank Transfer,102.3092857142857,33,Female
U00015,14,2035.06,145.36142857142858,Artificial Intelligence,Beginner,2.7607142857142857,10,2.0,1.25,1.4,Bank Transfer,145.36142857142858,27,Female
U00018,16,1468.03,91.751875,Artificial Intelligence,Beginner,3.1081250000000002,9,1.4545454545454546,1.625,1.7777777777777777,Credit Card,91.751875,24,Female
U00028,12,1012.66,84.38833333333334,Finance,Beginner,3.015,9,1.7142857142857142,1.8333333333333333,1.3333333333333333,Bank Transfer,84.38833333333334,30,Female
U00045,14,1209.79,86.41357142857143,Project Management,Beginner,3.375,9,2.0,1.5714285714285714,1.5555555555555556,Bank Transfer,86.41357142857143,23,Female
U00048,13,356.89,27.45307692307692,Design,Beginner,3.329230769230769,9,1.625,1.5714285714285714,1.4444444444444444,Bank Transfer,27.45307692307692,19,Male
U00055,16,1448.25,90.515625,Design,Advanced,3.055625,9,1.6,5.5,1.7777777777777777,Bank Transfer,90.515625,31,Female
U00071,14,641.94,45.85285714285715,Programming,Beginner,2.777857142857143,8,1.75,1.375,1.75,PayPal,45.85285714285715,30,Female
U00083,15,1661.3,110.75333333333333,Artificial Intelligence,Intermediate,2.9953333333333334,9,1.875,3.0,1.6666666666666667,Bank Transfer,110.75333333333333,16,Male
U00085,13,1149.12,88.39384615384614,Cybersecurity,Beginner,2.9084615384615384,7,1.625,1.125,1.8571428571428572,Credit Card,88.39384615384614,22,Female
U00109,14,869.77,62.12642857142857,Data Science,Beginner,3.157857142857143,10,1.5555555555555556,1.0,1.4,Bank Transfer,62.12642857142857,15,Female
U00112,14,565.8,40.41428571428571,Data Science,Advanced,3.165714285714286,9,1.5555555555555556,2.3333333333333335,1.5555555555555556,PayPal,40.41428571428571,34,Female
U00117,13,1885.87,145.06692307692308,Cybersecurity,Beginner,3.373076923076923,9,1.625,1.25,1.4444444444444444,Credit Card,145.06692307692308,19,Female
U00126,14,1084.57,77.4692857142857,Digital Marketing,Beginner,3.457142857142857,7,1.4,1.375,2.0,Bank Transfer,77.4692857142857,23,Female
U00128,13,1813.65,139.51153846153846,Artificial Intelligence,Beginner,3.106923076923077,8,1.8571428571428572,2.0,1.625,PayPal,139.51153846153846,35,Female
U00133,14,828.33,59.166428571428575,Marketing,Beginner,2.830714285714286,9,1.5555555555555556,1.8571428571428572,1.5555555555555556,Credit Card,59.166428571428575,21,Male
U00134,14,1438.21,102.72928571428572,Finance,Advanced,3.3528571428571428,8,1.75,3.2,1.75,PayPal,102.72928571428572,26,Female
U00144,13,953.67,73.35923076923076,Finance,Intermediate,3.173076923076923,7,1.4444444444444444,5.333333333333333,1.8571428571428572,Bank Transfer,73.35923076923076,24,Female
U00147,12,1195.68,99.64,Data Science,Beginner,3.0775,9,1.7142857142857142,1.6666666666666667,1.3333333333333333,PayPal,99.64,30,Male
U00149,10,906.41,90.64099999999999,Artificial Intelligence,Advanced,3.303,8,1.4285714285714286,2.75,1.25,Bank Transfer,90.64099999999999,17,Female
U00152,12,1368.9199999999998,114.07666666666665,Cybersecurity,Beginner,3.296666666666667,9,2.0,1.1428571428571428,1.3333333333333333,Credit Card,114.07666666666665,19,Female
U00161,11,605.6,55.054545454545455,Business,Advanced,2.8972727272727274,7,1.2222222222222223,3.25,1.5714285714285714,PayPal,55.054545454545455,25,Female
U00166,15,248.88,16.592,Machine Learning,Intermediate,3.1886666666666668,9,1.5,2.3333333333333335,1.6666666666666667,Credit Card,16.592,33,Male
U00169,13,567.16,43.62769230769231,Design,Advanced,2.636923076923077,11,1.625,2.8,1.1818181818181819,Bank Transfer,43.62769230769231,24,Male
U00173,14,1094.82,78.20142857142856,Artificial Intelligence,Beginner,3.1978571428571425,10,2.0,1.4285714285714286,1.4,Bank Transfer,78.20142857142856,31,Male
U00177,14,1526.54,109.03857142857143,Finance,Beginner,3.0235714285714286,9,2.0,1.25,1.5555555555555556,PayPal,109.03857142857143,29,Female
U00178,14,236.72000000000003,16.90857142857143,Data Science,Beginner,3.54,10,1.75,2.1666666666666665,1.4,Credit Card,16.90857142857143,20,Male
U00191,12,2258.7,188.225,Project Management,Beginner,3.955833333333333,8,1.7142857142857142,1.6666666666666667,1.5,PayPal,188.225,34,Male
U00192,14,680.0699999999999,48.576428571428565,Web Development,Beginner,3.440714285714286,9,2.0,1.375,1.5555555555555556,Bank Transfer,48.576428571428565,17,Male
U00198,12,1242.3400000000001,103.52833333333335,Finance,Beginner,3.2741666666666664,7,1.3333333333333333,1.2857142857142858,1.7142857142857142,Bank Transfer,103.52833333333335,30,Female
U00208,15,507.62,33.84133333333333,Data Science,Beginner,3.1533333333333338,10,1.5,1.75,1.5,PayPal,33.84133333333333,18,Female
U00216,16,1405.87,87.866875,Programming,Beginner,3.545625,10,1.7777777777777777,1.2,1.6,Bank Transfer,87.866875,23,Male
U00220,15,300.34999999999997,20.02333333333333,Programming,Beginner,3.6286666666666667,11,2.142857142857143,1.2222222222222223,1.3636363636363635,Bank Transfer,20.02333333333333,20,Male
U00238,15,1872.92,124.86133333333333,Business,Beginner,3.1626666666666665,10,1.6666666666666667,1.75,1.5,PayPal,124.86133333333333,24,Female
U00251,13,1310.57,100.81307692307692,Finance,Beginner,3.493846153846154,9,1.625,0.7777777777777778,1.4444444444444444,Bank Transfer,100.81307692307692,28,Female
U00260,15,2445.2,163.01333333333332,Design,Advanced,3.1526666666666667,9,1.5,2.142857142857143,1.6666666666666667,Bank Transfer,163.01333333333332,35,Male
U00265,14,2087.85,149.13214285714284,Digital Marketing,Intermediate,3.4299999999999997,9,1.75,2.8,1.5555555555555556,Bank Transfer,149.13214285714284,15,Male
U00272,13,1229.1999999999998,94.55384615384614,Digital Marketing,Advanced,3.2284615384615383,8,1.8571428571428572,3.0,1.625,Bank Transfer,94.55384615384614,25,Male
U00282,14,1034.17,73.86928571428572,Business,Advanced,2.472142857142857,9,1.75,5.0,1.5555555555555556,Bank Transfer,73.86928571428572,19,Male
U00292,12,965.62,80.46833333333333,Cybersecurity,Intermediate,3.1333333333333333,8,1.7142857142857142,2.2,1.5,Bank Transfer,80.46833333333333,33,Male
U00293,13,1426.48,109.72923076923077,Machine Learning,Advanced,2.94,9,1.625,3.75,1.4444444444444444,Bank Transfer,109.72923076923077,25,Female
U00298,14,2020.42,144.31571428571428,Project Management,Intermediate,3.2892857142857146,7,1.75,4.0,2.0,PayPal,144.31571428571428,32,Male
U00301,14,1201.4299999999998,85.81642857142856,Programming,Beginner,3.0685714285714285,9,1.4,1.5714285714285714,1.5555555555555556,Bank Transfer,85.81642857142856,26,Male
U00303,14,1085.94,77.56714285714285,Machine Learning,Advanced,3.027142857142857,7,2.0,3.2,2.0,PayPal,77.56714285714285,35,Male
U00310,11,465.17,42.28818181818182,Data Science,Advanced,3.097272727272727,8,2.2,5.0,1.375,PayPal,42.28818181818182,26,Female
U00315,12,972.29,81.02416666666666,Data Science,Beginner,3.3516666666666666,9,2.0,1.8333333333333333,1.3333333333333333,Credit Card,81.02416666666666,31,Female
U00321,14,1822.94,130.21,Artificial Intelligence,Beginner,2.579285714285714,8,1.5555555555555556,2.1666666666666665,1.75,PayPal,130.21,28,Male
U00322,14,626.3,44.73571428571428,Web Development,Beginner,3.067857142857143,7,1.75,1.125,2.0,Credit Card,44.73571428571428,23,Male
U00323,15,948.99,63.266,Business,Advanced,3.3059999999999996,8,1.5,3.8,1.875,Bank Transfer,63.266,21,Female
U00328,15,1319.8899999999999,87.99266666666666,Finance,Beginner,3.31,8,1.6666666666666667,1.0,1.875,PayPal,87.99266666666666,29,Female
